Country,Status,life_expectancy,adult_mortality,infant_deaths,alcohol,perc_expenditure,hepatitisB,measles,BMI,deaths_under_five,polio,tot_expenditure,diphtheria,AIDS,GDPpc,pop,thinness10_19years,thinness5_9years,inc_composition,schooling
Afghanistan,Developing,65,263,62,0.01,11.8,65,1154,19.1,83,6,8.16,65,0.1,584.25921,33736494,17.2,17.3,0.479,10.1
Albania,Developing,77.8,74,0,4.6,6.7,99,9,58,1,99,6,99,0.1,3954.22783,28873,1.2,1.3,0.762,14.2
Algeria,Developing,75.6,19,21,0.01,6.6,95,63,59.5,24,95,7.21,95,0.1,4132.76292,39871528,6,5.8,0.743,14.4
Angola,Developing,52.4,335,66,8.33,2.7,64,118,23.3,98,7,3.31,64,1.9,3695.793748,2785935,8.3,8.2,0.531,11.4
AntiguaandBarbuda,Developing,76.4,13,0,8.56,5.1,99,0,47.7,0,86,5.54,99,0.2,13566.9541,"89,409",3.3,3.3,0.784,13.9
Argentina,Developing,76.3,116,8,7.93,9.9,94,0,62.8,9,93,4.79,94,0.1,13467.1236,43417765,1,0.9,0.826,17.3
Armenia,Developing,74.8,118,1,3.91,10,94,33,54.9,1,96,4.48,94,0.1,369.654776,291695,2.1,2.2,0.741,12.7
Australia,Developed,82.8,59,1,9.71,10.1,93,74,66.6,1,93,9.42,93,0.1,56554.3876,23789338,0.6,0.6,0.937,20.4
Austria,Developed,81.5,65,0,12.32,10.4,93,309,57.6,0,93,11.21,93,0.1,43665.947,8633169,1.9,2.1,0.892,15.9
Azerbaijan,Developing,72.7,118,5,0.01,4.4,96,0,52.5,6,98,6.4,96,0.1,55.31382,9649341,2.8,2.9,0.758,12.7
Bahamas,Developing,76.1,147,0,9.45,5.7,95,0,64.5,0,95,7.74,95,0.1,32570,"385,346",2.5,2.5,0.79,12.6
Bahrain,Developing,76.9,69,0,1.57,4.9,98,0,63.6,0,98,4.98,98,0.1,22688.87824,"1,269,650",6.2,6.1,0.823,14.5
Bangladesh,Developing,71.8,129,92,0.01,2.4,97,240,18.3,113,97,2.82,97,0.1,121.15812,1612886,17.9,18.3,0.575,10.2
Barbados,Developing,75.5,98,0,8.82,6.8,97,0,54.5,0,97,7.47,97,0.1,15557.8381,"278,990",3.8,3.7,0.794,15.3
Belarus,Developing,72.3,196,0,13.94,5.9,99,2,62.3,0,99,5.69,99,0.1,5949.11677,9489616,1.9,2,0.798,15.6
Belgium,Developed,81.1,74,0,12.6,10.8,98,47,63.7,1,99,1.59,99,0.1,4356.875,11274196,1,1,0.895,16.6
Belize,Developing,71,175,0,6.58,4.8,94,0,5.9,0,94,5.79,94,0.2,4849.997495,359288,3.5,3.4,0.706,12.8
Benin,Developing,60,249,25,0.01,2.8,82,55,25.7,39,78,4.59,82,1,783.94791,1575952,6.9,6.8,0.481,10.7
Bhutan,Developing,69.8,211,0,0.01,3.6,99,11,24.5,0,98,3.57,99,0.5,2613.645177,787386,15.4,16,0.604,12.5
Bolivia(PlurinationalStateof),Developing,77,186,8,3.62,6.8,99,0,52.6,10,99,6.33,99,0.1,3069,"11,014,705",1.2,1.1,0.671,13.8
BosniaandHerzegovina,Developing,77.4,88,0,4.03,9.1,82,1677,55.8,0,74,9.57,82,0.1,4574.9787,3535961,2.3,2.3,0.747,14.2
Botswana,Developing,65.7,256,2,0.01,5.8,95,0,37.9,2,96,5.41,95,2.2,6532.651,229197,6.4,6.1,0.698,12.6
